EnsemblID	gene_name	logFC	logCPM	PValue	FDR	F	gene_biotype	GroupA_AvgCPM	GroupB_AvgCPM	GroupA_stdv	GroupB_stdv	log10FDR	alias	mygene_name	summary
	TECTA	1.13605	-1.32293				protein_coding								
	CCN2	1.13605	-1.32293				protein_coding								
	KCNS1	1.13605	-1.32293				protein_coding								
	DOCK4	1.13605	-1.32293				protein_coding								
	CYP2E1	1.13605	-1.32293				protein_coding								
	MTUS2	1.13605	-1.32293				protein_coding								
	SPINK5	1.13605	-1.32293				protein_coding								
	GSTM3	1.13605	-1.32293				protein_coding								
	HRH4	1.13605	-1.32293				protein_coding								
	DSC3	1.13605	-1.32293				protein_coding								
	SPRY2	1.13605	-1.32293				protein_coding								
	SIX3	1.13605	-1.32293				protein_coding								
	CYP2C9	1.13605	-1.32293				protein_coding								
	STON2	1.13605	-1.32293				protein_coding								
	CYP1A2	1.13605	-1.32293				protein_coding								
	HORMAD1	1.13605	-1.32293				protein_coding								
	ATP6V1C2	1.13605	-1.32293				protein_coding								
	ZNF660	1.13605	-1.32293				protein_coding								
	RNF217	1.13605	-1.32293				protein_coding								
	ZNF157	1.13605	-1.32293				protein_coding								
	ST8SIA6	1.13605	-1.32293				protein_coding								
	P4HA3	1.13605	-1.32293				protein_coding								
	LURAP1L	1.13605	-1.32293				protein_coding								
	CPA5	1.13605	-1.32293				protein_coding								
	TSSK3	1.13605	-1.32293				protein_coding								
	SPATA17	1.13605	-1.32293				protein_coding								
	FANCD2OS	1.13605	-1.32293				protein_coding								
	KLF15	1.13605	-1.32293				protein_coding								
	SPMIP6	1.13605	-1.32293				protein_coding								
	PCDH19	1.13605	-1.32293				protein_coding								
	SMCO2	1.13605	-1.32293				protein_coding								
	TTC21A	1.13605	-1.32293				protein_coding								
	CXCL11	1.13605	-1.32293				protein_coding								
	TIGD4	1.13605	-1.32293				protein_coding								
	RNF150	1.13605	-1.32293				protein_coding								
	FABP6	1.13605	-1.32293				protein_coding								
	COL24A1	1.13605	-1.32293				protein_coding								
	FAM170B	1.13605	-1.32293				protein_coding								
	HORMAD2	1.13605	-1.32293				protein_coding								
	SLC8A1	1.13605	-1.32293				protein_coding								
	RIPPLY3	1.13605	-1.32293				protein_coding								
	LRIT3	1.13605	-1.32293				protein_coding								
